movie_id,genre_id
alice-through-the-looking-glass,12
alices-house,4
alien-abduction,3
alien-abduction,6
alien-abduction,7
alien-covenant,2
alien-covenant,10
alien-covenant,3
alien-covenant,6
alien-covenant,7
alien-girl,2
alien-girl,4
alien-outpost,2
alien-outpost,3
alien-outpost,6
alien-trespass,3
alien-trespass,6
alien-trespass,7
alien-trespass,8
aliens-in-the-attic,10
aliens-in-the-attic,3
aliens-in-the-attic,11
aliens-in-the-attic,12
aliens-of-the-deep,1
alila,4
alila,8
alita-battle-angel,2
alita-battle-angel,10
alita-battle-angel,3
alita-battle-angel,6
alita-battle-angel,9
alive-inside-2014,1
alive-inside-2014,19
aliyah,4
all-about-lily-chou-chou,4
all-about-lily-chou-chou,6
all-about-lily-chou-chou,13
all-about-lily-chou-chou,18
all-about-nina,4
all-about-nina,8
all-about-steve,8
all-about-the-benjamins,2
all-about-the-benjamins,6
all-about-the-benjamins,8
all-about-the-benjamins,13
all-access-front-row-backstage-live!,18
all-access-front-row-backstage-live!,1
all-cheerleaders-die,6
all-cheerleaders-die,7
all-cheerleaders-die,8
all-day-and-a-night,4
all-eyez-on-me,17
all-eyez-on-me,4
all-eyez-on-me,18
all-good-things,4
all-good-things,5
all-good-things,6
all-i-can-say,18
all-i-can-say,1
all-i-see-is-you,4
all-i-see-is-you,5
all-i-wish,4
all-i-wish,8
all-in-the-fight-for-democracy,1
all-in-the-poker-movie,1
all-is-bright,4
all-is-bright,8
all-is-forgiven-2007,4
all-is-lost,2
all-is-lost,10
all-is-lost,4
all-is-true,17
all-is-true,4
all-is-true,15
all-is-well,4
all-light-everywhere,1
all-my-life,4
all-my-life,9
all-my-loved-ones,4
all-my-loved-ones,14
all-my-loved-ones,18
all-or-nothing,4
all-or-nothing,8
all-over-the-guy,8
all-over-the-guy,9
all-relative,4
all-relative,8
all-relative,9
all-saints,4
all-the-boys-love-mandy-lane,5
all-the-boys-love-mandy-lane,6
all-the-boys-love-mandy-lane,7
all-the-boys-love-mandy-lane,9
all-the-bright-places,4
all-the-bright-places,9
all-the-kings-men,4
all-the-kings-men,6
all-the-light-in-the-sky,4
all-the-money-in-the-world,17
all-the-money-in-the-world,4
all-the-money-in-the-world,15
all-the-money-in-the-world,5
all-the-money-in-the-world,6
all-the-money-in-the-world,13
all-the-pretty-horses,4
all-the-pretty-horses,9
