movie_id,url,title,genre,metascore,userscore,RelDate,rating_id
silk-road,https://www.metacritic.com/movie/silk-road,Silk Road,"Drama,Thriller,Crime",41,5.3,2021-02-19,2
silo,https://www.metacritic.com/movie/silo,Silo,"Drama,Thriller",43,,2021-05-07,0
silver-city,https://www.metacritic.com/movie/silver-city,Silver City,"Drama,Mystery,Thriller,Comedy",47,5.7,2004-09-17,2
silver-linings-playbook,https://www.metacritic.com/movie/silver-linings-playbook,Silver Linings Playbook,"Drama,Comedy,Romance",81,8.5,2012-11-16,2
simon-killer,https://www.metacritic.com/movie/simon-killer,Simon Killer,Drama,63,7.1,2013-04-05,0
simon-magus,https://www.metacritic.com/movie/simon-magus,Simon Magus,"Drama,Mystery,Fantasy,Romance",47,,2001-03-09,0
simon-the-oaks,https://www.metacritic.com/movie/simon-the-oaks,Simon & the Oaks,Drama,62,,2012-10-12,0
sin,https://www.metacritic.com/movie/sin,Sin,"Biography,Drama,History",65,,2021-02-19,0
sin-city,https://www.metacritic.com/movie/sin-city,Sin City,"Action,Thriller,Crime",74,8.7,2005-04-01,0
sin-city-a-dame-to-kill-for,https://www.metacritic.com/movie/sin-city-a-dame-to-kill-for,Sin City: A Dame To Kill For,"Action,Thriller,Crime",46,8.0,2014-08-22,2
sin-nombre,https://www.metacritic.com/movie/sin-nombre,Sin Nombre,"Adventure,Drama,Thriller,Crime",77,8.0,2009-03-20,2
sinbad-legend-of-the-seven-seas,https://www.metacritic.com/movie/sinbad-legend-of-the-seven-seas,Sinbad: Legend of the Seven Seas,"Adventure,Fantasy,Animation,Family",48,6.8,2003-07-02,1
since-otar-left,https://www.metacritic.com/movie/since-otar-left,Since Otar Left,Drama,85,7.7,2004-04-30,0
sing,https://www.metacritic.com/movie/sing,Sing,"Drama,Comedy,Music,Animation,Family,Musical",59,6.3,2016-12-21,1
sing-2,https://www.metacritic.com/movie/sing-2,Sing 2,"Adventure,Drama,Fantasy,Comedy,Music,Animation,Family,Musical",49,7.0,2021-12-22,1
sing-street,https://www.metacritic.com/movie/sing-street,Sing Street,"Drama,Comedy,Romance,Music,Musical",79,8.5,2016-04-15,1
sing-your-song,https://www.metacritic.com/movie/sing-your-song,Sing Your Song,Documentary,73,5.8,2012-01-13,0
sinister-2,https://www.metacritic.com/movie/sinister-2,Sinister 2,"Mystery,Thriller,Horror",32,5.8,2015-08-21,2
sinister-2012,https://www.metacritic.com/movie/sinister-2012,Sinister,"Mystery,Thriller,Horror,Crime",53,7.2,2012-10-12,2
sir!-no-sir!,https://www.metacritic.com/movie/sir!-no-sir!,Sir! No Sir!,"War,Documentary",74,7.7,2006-04-07,0
siren,https://www.metacritic.com/movie/siren,SiREN,Horror,54,6.3,2016-12-02,0
sister,https://www.metacritic.com/movie/sister,Sister,Drama,81,6.8,2012-10-05,0
sister-aimee,https://www.metacritic.com/movie/sister-aimee,Sister Aimee,Biography,52,,2019-09-27,0
sister-helen,https://www.metacritic.com/movie/sister-helen,Sister Helen,Documentary,64,,2003-10-24,0
sisters,https://www.metacritic.com/movie/sisters,Sisters,Comedy,58,6.3,2015-12-18,2
sisters-in-law,https://www.metacritic.com/movie/sisters-in-law,Sisters in Law,Documentary,71,,2006-04-12,0
